53058,31171,52130
16732,38579,92679
85580,58662,14262
72245,188,83718
14212,44745,26379
93858,2582,91416
66736,42769,94405
22008,73169,85470
25108,47514,63066
83389,13497,94950
18282,71194,76314
35695,61594,19621
78969,26804,31961
97041,2180,4653
25890,28617,80744
87901,51322,26334
24541,34493,61701
55938,66487,98926
30661,71904,34272
71931,66923,82018
6232,76728,99308
56145,63902,93002
23793,15424,79455
81452,58822,88817
93012,65141,7536
2840,18238,66973
52588,40872,22999
10265,82286,23193
31259,17961,57786
84078,81754,28421
17310,63839,15110
16368,82236,60858
83348,27568,84363
60472,31781,17753
96715,46491,72979
19241,90530,19211
94139,33549,97182
66731,33252,82135
59906,29269,54877
9253,70683,37875
14285,66040,2240
17669,38580,60471
33749,3459,77171
7102,96974,93664
91513,78867,22768
52008,8036,52048
77062,79849,49119
48274,42034,13652
68174,43800,18538
29360,37413,17566
17106,49895,94754
3794,29019,84167
31150,61392,58622
70517,56039,57379
81159,38125,89027
22443,14853,34251
95333,87829,55509
30265,74160,69645
80043,15849,68597
71759,41340,8784
46680,25544,30011
51087,92146,44179
93689,74196,84571
13099,76451,3432
68876,64948,60220
31382,48680,47196
67078,31300,54130
10023,72429,54486
58353,49446,9979
73280,55646,90728
42348,96172,85267
96130,67460,10138
35926,12140,18061
53202,4742,18682
47200,7070,99924
17736,29212,34066
66193,63649,16614
87454,6149,31625
97124,61190,57393
84831,80187,40173
35028,1938,93245
80175,40774,84112
88859,16627,84871
69389,4311,41601
34298,39505,95581
30683,42757,33541
3004,67116,94245
58999,31836,35028
95392,65969,28791
10858,32780,77039
56147,10816,3270
24322,55217,79674
69246,66816,17522
73956,60373,54145
57170,81198,70919
75992,84268,71081
1248,26421,94421
27509,86255,6127
11809,10900,97416
47901,96230,33940
11717,46756,61829
52619,5915,98597
65877,17517,61819
43939,39557,52034
94172,96235,23688
17605,31332,30058
85930,48078,67490
60966,72464,32498
48381,66755,47092
57838,68044,55331
163,90039,17724
56111,44908,36444
97667,4237,31276
47770,44564,56518
89098,49728,40566
57612,564,48683
11019,99177,4095
2196,26672,44464
50600,42369,49710
38738,91869,60586
81546,81193,48094
18111,21941,87322
15784,14188,54498
39329,72989,86478
61529,75050,69846
17089,3048,48245
59071,89002,89624
52101,92844,64641
38899,6961,55142
11718,40662,97494
97420,66715,8267
5783,31780,27672
65142,27976,10445
93645,87691,13330
80275,95949,90998
6743,62944,87332
25422,67405,37550
307,32075,36200
25337,49546,47979
19203,23703,19231
29588,81584,56900
42245,81700,19489
97259,81037,453
12949,27149,60628
9854,2707,17324
72550,44940,71903
71186,68595,97355
20351,51483,38008
35392,66463,61151
18467,67154,98480
83720,25999,67580
72423,11468,12024
5033,45919,57466
16559,6765,72967
86936,98352,2876
19472,35571,88012
1662,99486,49550
45446,24391,60388
71146,63684,71214
46127,62471,67162
91784,52352,61073
12325,91475,18136
67727,34880,47120
15415,97417,62890
22862,39817,67975
54094,37842,42604
41099,34269,21678
91758,72054,40171
12406,6335,16839
73603,74019,68954
9084,84625,88989
10266,68762,43071
75070,51555,76504
63539,77937,38950
21990,94263,52242
58182,63728,3109
96897,62368,67115
21787,96763,8119
84951,83820,16534
85368,21690,93250
25051,53142,62217
34385,14239,93069
25678,11500,38535
52357,22950,39300
93463,32434,96260
76776,88646,54131
14948,59810,47068
87512,1500,81436
82230,18059,96242
47024,4533,51265
12052,87885,81948
56879,27205,8077
4900,70409,55447
11645,66028,3340
77971,71486,80032
41391,28434,55708
12289,10242,65509
86230,16032,65373
19445,19856,62388
73256,51525,80570
84606,28035,55453
39103,4079,25543
64966,1272,735
56022,15347,89191
81523,90838,60992
51653,68132,16037
45349,33833,6792
97367,92056,47727
19842,64853,71160
78345,99219,48814
46163,15747,47683
28939,26153,37414
23574,20533,2337
61580,41354,90918
5312,20878,32827
99288,64038,52571
25656,86750,10556
90769,46825,13042
57491,65968,92608
72305,74667,45275
14258,3643,23792
74458,74141,905
38254,40848,12069
79749,91202,59010
90618,64452,7008
72403,33811,49922
87154,61964,40609
89927,34978,93327
6443,76530,38276
19181,68129,50297
63660,72001,53663
9975,11147,39095
54996,44327,96403
49559,93141,59708
66484,28604,38000
23288,2989,84857
14840,33609,35148
1021,43266,94228
30151,46881,38129
30510,75579,39663
63471,9268,40453
42303,86506,2031
39219,32180,77529
58261,14073,46456
50462,9304,52932
35327,26893,18247
25930,39669,31404
87835,25661,77667
17786,77219,54036
37755,72543,99405
238,58560,14513
42079,84005,45341
86251,93812,744
55775,25385,61009
49405,53847,81637
25201,70761,11234
59874,39060,87941
52063,80957,67828
58569,24611,53272
2401,99416,16624
88972,54354,81552
47911,13431,71457
63018,2118,45447
16056,94014,40651
43103,36094,8661
56100,47764,38879
90107,14896,30927
86998,39957,43035
77958,61815,96713
72142,84296,46626
74869,72934,6481
34816,49910,9957
98148,60318,4121
95463,73613,22300
3025,55231,15120
53623,67215,38313
68684,85309,84316
63088,34604,35397
11205,39845,37109
428,7951,5710
70866,27916,28315
50330,45770,76822
43235,63719,43727
34991,65118,53538
28342,14120,63937
24289,9216,17045
58158,91009,13940
3278,32055,84753
2160,28076,78750
55024,14805,10242
18542,58253,67850
83653,63146,53108
11734,97871,27269
78835,5722,71329
63337,36844,29587
35486,67883,7426
34411,85297,78458
30842,39438,17344
18258,47222,14619
65642,17124,93896
58782,61465,27865
87308,33857,49183
96936,93676,46723
88453,39676,6670
65481,93712,9032
78754,7171,86268
50090,87299,63326
20344,62706,87315
19810,51441,83897
4704,42811,29691
78023,40617,15969
59761,34453,86875
29562,86787,12722
31039,4513,60227
7979,58684,27406
36940,93880,29562
31487,4882,15334
17630,68986,10101
74443,5523,26481
24125,74582,19041
64353,94889,50091
72724,48540,32211
23366,84053,55498
15065,52864,50286
94965,831,91322
82076,18156,21015
84552,54042,77405
70069,49723,80962
26081,16757,65059
14900,1441,75449
37984,2731,7585
78960,48781,54216
8183,57420,64883
70439,79285,88689
5496,33108,49408
85334,96064,82683
37817,88813,71357
32524,71380,71831
68812,6204,26679
479,50274,13991
76714,75494,20096
34210,72458,80547
86285,57124,18545
89769,74535,18290
2327,78568,33534
69321,56704,94337
15197,45149,13012
56655,21974,15491
71770,1490,52036
95917,60394,68518
54197,21239,89543
64526,10313,95407
78380,54977,71559
61625,15914,27793
84449,31459,15945
2386,96281,59410
20034,88696,41590
362,1974,27755
90248,81682,32347
10897,13482,13387
9006,99696,70961
41779,43258,74809
85344,81564,89007
77908,90408,84649
98072,76713,76036
81088,96987,55538
13601,58085,84369
90909,5073,90149
1565,18570,30083
49723,99020,90779
58978,79447,5532
94284,93940,259
63866,84044,1957
33310,63996,46874
15663,87018,31379
55107,23998,76072
92867,92460,22667
8856,84668,23122
83331,79253,6252
48036,64391,93260
89757,18233,79526
29078,7751,99278
62539,89664,2337
50457,88537,41019
87701,70713,97425
9089,66035,95712
1663,18286,46071
8345,77301,19619
64752,51790,36648
64553,69038,39693
59141,9620,7708
23346,31047,77764
36190,59062,76564
86173,32589,79526
85492,71421,24837
96892,83401,84914
9567,90379,97655
92573,8113,71244
39878,29265,16905
88975,16454,31566
14342,86706,52471
91976,37536,24971
50459,47623,26548
41454,28176,80013
95184,72349,84472
66481,53076,26719
19303,84932,8501
29160,93889,41516
92943,54577,15817
15297,92157,284
97724,8210,52830
29772,88880,55041
74949,85634,58091
3295,46584,89159
1411,72340,36720
5652,16422,64546
22622,68444,79331
37149,88253,83537
54884,74948,19811
20010,80642,92465
31292,69439,85189
65833,48208,97915
8509,64263,39435
35591,96414,47601
27459,46595,89288
88133,94930,93433
38463,93755,92711
78261,76744,76854
1213,83800,78423
64251,95577,738
49636,52425,66539
69508,43382,17505
85959,62183,41484
18549,20198,16009
55111,26965,59522
12123,78499,55104
79486,80260,69601
87719,95092,39185
4492,74846,33028
40553,57526,71408
86486,35157,40051
94394,43979,90758
509,63579,94041
52221,57350,36494
5301,91307,32459
96605,2561,65658
51656,98619,98500
16192,25265,73458
74436,27829,55934
94173,17107,60364
3758,62828,29386
926,75918,96842
16652,75153,76152
34516,65530,85748
19580,96131,44012
80626,83059,95486
60493,21680,57144
2645,80732,63353
666,81616,55717
19073,75642,25392
7307,5569,81858
57929,32398,99411
85423,80188,58362
7501,82800,80977
33222,60914,95153
78200,92347,58443
1882,81036,70525
57627,96531,86699
43505,84146,52998
28928,88536,78619
90269,50335,58834
48191,5715,62493
15054,40537,40860
10514,48195,13228
51199,61177,46186
61552,69228,62923
91826,74321,94641
73639,56748,67681
79568,48827,56312
61100,32454,22964
18402,93441,69504
45642,36784,37865
78011,91170,94289
75727,12808,29544
75509,98271,25327
14877,30302,31422
41811,84504,60878
98200,91952,96757
24584,50140,98365
12077,39132,34961
90116,67102,47380
16279,44860,97006
48430,71368,44952
37053,14128,16951
82819,6490,98434
58567,24759,67908
13931,42719,46480
5118,11559,61378
71039,59511,12045
22484,54844,66436
19950,47191,91061
91995,12721,82299
94805,60173,60076
54602,39900,98656
55537,30892,73650
7990,57630,53812
11157,56767,58322
78274,23091,29975
49487,47195,75995
57876,12815,88075
58965,49133,46580
35531,58647,59477
85418,49077,821
81777,1798,93054
13225,25850,74700
26937,33845,17972
10413,52766,71427
37507,29752,23182
51921,88101,37021
2402,63672,85846
39071,25306,55099
19138,32632,30982
77211,72470,58340
79168,87332,7334
78279,46051,3919
1066,57267,52858
91081,72829,67421
2524,47779,83848
30614,89831,24212
16073,18380,45456
7467,84246,36609
68356,31612,65944
90231,71144,22955
82868,97098,94139
89020,95160,60765
53604,76779,84729
18163,53546,39806
79752,13568,66788
70326,82308,67300
