97603,50471
97603,51688
97910,51688
97910,52889
97643,52889
97643,54140
98081,54140
98081,55332
97733,55332
97733,56569
97800,56569
97800,57733
97343,57733
97343,58996
97483,58996
97483,60230
97398,60230
97398,61323
96693,61323
96693,62437
96148,62437
96148,63711
96183,63711
96183,64829
95675,64829
95675,66056
95497,66056
95497,67159
94960,67159
94960,68169
94210,68169
94210,69500
94227,69500
94227,70429
93325,70429
93325,71522
92799,71522
92799,72867
92741,72867
92741,73675
91676,73675
91676,74818
91222,74818
91222,75610
90195,75610
90195,77017
90123,77017
90123,77844
89172,77844
89172,78974
88649,78974
88649,79886
87830,79886
87830,80745
86952,80745
86952,81318
85759,81318
85759,82374
85127,82374
85127,83268
84311,83268
84311,84414
83739,84414
83739,85299
82895,85299
82895,86128
81997,86128
81997,86720
80897,86720
80897,87218
79739,87218
79739,87877
78723,87877
78723,89194
78188,89194
78188,89419
76861,89419
76861,90179
75913,90179
75913,90850
74904,90850
74904,92015
74176,92015
74176,92349
72960,92349
72960,92802
71821,92802
71821,93728
70915,93728
70915,94003
69693,94003
69693,94322
68502,94322
68502,94730
67356,94730
67356,95100
66197,95100
66197,95162
64939,95162
64939,95978
63927,95978
63927,96183
62721,96183
62721,96984
61669,96984
61669,96948
60405,96948
60405,97193
59212,97193
59212,97025
57948,97025
57948,97102
56739,97102
56739,97458
55567,97458
55567,97828
54385,97828
54385,97473
53142,97473
53142,98135
51963,98135
51963,98420
50747,98420
50747,97827
49526,97827
49526,98438
48292,98438
48292,97494
47119,97494
47119,97428
45915,97428
45915,97999
44638,97999
44638,97417
43483,97417
43483,97450
42249,97450
42249,96815
41129,96815
41129,96489
39965,96489
39965,97129
38570,97129
38570,96797
37387,96797
37387,96063
36324,96063
36324,95633
35184,95633
35184,95032
34107,95032
34107,95069
32798,95069
32798,94419
31744,94419
31744,93872
30656,93872
30656,93621
29431,93621
29431,93185
28283,93185
28283,92100
27475,92100
27475,91308
26533,91308
26533,91132
25234,91132
25234,90160
24412,90160
24412,89578
23349,89578
23349,89218
22122,89218
22122,88439
21183,88439
21183,87856
20092,87856
20092,86696
19467,86696
19467,86176
18315,86176
18315,85164
17591,85164
17591,84146
16891,84146
16891,83571
15756,83571
15756,82441
15187,82441
15187,81555
14369,81555
14369,80764
13437,80764
13437,79694
12836,79694
12836,78864
11937,78864
11937,77901
11204,77901
11204,77297
9940,77297
9940,76240
9312,76240
9312,74854
9229,74854
9229,73715
8785,73715
8785,72754
8029,72754
8029,71674
7484,71674
7484,70845
6416,70845
6416,69410
6627,69410
6627,68674
5265,68674
5265,67245
5553,67245
5553,66381
4385,66381
4385,65137
4237,65137
4237,63971
3876,63971
3876,62823
3446,62823
3446,61496
3714,61496
3714,60411
3025,60411
3025,59195
2894,59195
2894,57919
3147,57919
3147,56859
2055,56859
2055,55595
2304,55595
2304,54418
1809,54418
1809,53148
2431,53148
2431,51945
2301,51945
2301,50745
1708,50745
1708,50444
94904,50444
94904,48302
1837,48302
1837,47103
2244,47103
2244,45854
1861,45854
1861,44707
2621,44707
2621,43400
1983,43400
1983,42305
2892,42305
2892,41070
2871,41070
2871,39882
3124,39882
3124,38602
3001,38602
3001,37612
4038,37612
4038,36422
4266,36422
4266,35198
4408,35198
4408,33998
4656,33998
4656,32900
5197,32900
5197,31914
5995,31914
5995,30442
5641,30442
5641,29656
6854,29656
6854,28337
6921,28337
6921,27513
7970,27513
7970,26413
8479,26413
8479,25335
9034,25335
9034,24009
9207,24009
9207,22946
9822,22946
9822,22428
11211,22428
11211,21082
11426,21082
11426,20284
12386,20284
12386,19458
13292,19458
13292,18499
14033,18499
14033,17579
14822,17579
14822,16855
15816,16855
15816,15681
16354,15681
16354,14626
17036,14626
